EmployeeID,Name,Age,Gender,Department,JobRole,EducationLevel,HireDate,ExitDate,Attrition,PerformanceRating,SatisfactionScore,Salary,OverTime,YearsAtCompany,PromotionLastYear
38,Employee 38,23,Other,Finance,Executive,Master's,2015-12-17,2017-08-12,Yes,5,1.8,26005,No,13,No
39,Employee 39,28,Male,Operations,Analyst,Master's,2020-11-15,,No,2,3.3,126358,Yes,10,No
40,Employee 40,58,Female,IT,Technician,High School,2015-06-02,,No,3,1.1,98556,Yes,9,Yes
41,Employee 41,54,Female,Sales,Technician,High School,2018-11-28,,No,4,3.9,53597,Yes,13,No
42,Employee 42,23,Other,Finance,Consultant,Master's,2022-06-08,2023-12-20,Yes,5,1.0,35242,Yes,4,Yes
43,Employee 43,50,Male,Sales,Consultant,High School,2016-09-08,2021-12-03,Yes,2,2.1,116360,No,13,No
44,Employee 44,48,Other,Sales,Manager,PhD,2021-03-19,,No,5,3.2,43516,No,9,Yes
45,Employee 45,52,Female,Marketing,Technician,PhD,2017-12-10,,No,1,3.9,118192,No,12,No
46,Employee 46,54,Other,HR,Manager,Bachelor's,2023-03-07,2026-01-01,Yes,4,2.9,97276,Yes,9,Yes
47,Employee 47,33,Male,IT,Analyst,Master's,2018-01-28,,No,1,4.1,141304,Yes,3,No
48,Employee 48,38,Male,IT,Executive,PhD,2016-11-24,,No,3,1.3,47214,No,2,No
49,Employee 49,31,Male,Sales,Manager,PhD,2021-06-07,2023-04-17,Yes,4,1.7,70399,No,6,No
50,Employee 50,33,Other,Marketing,Manager,PhD,2016-11-09,,No,5,2.7,51189,Yes,15,Yes
